
 num     #instances         #bytes  class name
----------------------------------------------
   1:        182938      149218664  [B
   2:          3447       47158144  [J
   3:        300924       36664992  [C
   4:           305       36092232  [D
   5:         40523       35110128  [I
   6:        324237       15563376  org.apache.lucene.util.fst.Builder$UnCompiledNode
   7:        432655       13844960  org.apache.lucene.util.fst.Builder$Arc
   8:        420546       13457472  org.wltea.analyzer.dic.DictSegment
   9:        401012       12832384  java.util.HashMap$Entry
  10:         59177        9317896  <constMethodKlass>
  11:        346127        8909536  [Lorg.apache.lucene.util.fst.Builder$Arc;
  12:        350050        8401200  org.apache.lucene.index.MultiDocsEnum$EnumWithSlice
  13:         59177        8059528  <methodKlass>
  14:          5907        6880864  <constantPoolKlass>
  15:          9856        6014488  [S
  16:         52367        5697744  [Ljava.util.HashMap$Entry;
  17:        177039        5665248  [Lorg.wltea.analyzer.dic.DictSegment;
  18:        215179        5164296  java.lang.String
  19:          5907        4340696  <instanceKlassKlass>
  20:        173018        4152432  org.apache.lucene.index.MultiDocsAndPositionsEnum$EnumWithSlice
  21:          4946        3796992  <constantPoolCacheKlass>
  22:          6249        3299816  <methodDataKlass>
  23:         58733        3289048  org.apache.lucene.codecs.lucene41.Lucene41PostingsWriter$PendingTerm
  24:          9889        3228992  [Lorg.apache.lucene.util.fst.FST$Arc;
  25:         30066        2642456  [Ljava.lang.Object;
  26:         44334        2482704  java.util.HashMap
  27:         96419        2314056  org.apache.lucene.util.BytesRef
  28:         38944        2047048  [Lorg.apache.lucene.index.MultiDocsEnum$EnumWithSlice;
  29:         45866        1834640  java.util.LinkedHashMap$Entry
  30:         23642        1702224  org.apache.lucene.util.fst.FST$Arc
  31:         57911        1389864  org.apache.lucene.codecs.TermStats
  32:         57910        1389840  org.apache.lucene.codecs.BlockTreeTermsWriter$PendingTerm
  33:         11768        1223872  org.apache.lucene.codecs.lucene41.Lucene41PostingsReader$IntBlockTermState
  34:          8562        1164432  org.apache.lucene.codecs.BlockTreeTermsReader$FieldReader$SegmentTermsEnum$Frame
  35:         26276        1051040  org.apache.lucene.document.FieldType
  36:         26093        1043720  org.apache.lucene.document.Field
  37:         17339         969680  [Lorg.apache.lucene.index.MultiDocsAndPositionsEnum$EnumWithSlice;
  38:         12418         894096  java.lang.reflect.Field
  39:          6353         761640  java.lang.Class
  40:         22549         721568  java.util.concurrent.ConcurrentHashMap$HashEntry
  41:         29860         716640  org.apache.lucene.store.ByteArrayDataInput
  42:         17236         689440  java.util.TreeMap$Entry
  43:          6272         652288  org.apache.lucene.util.fst.FST
  44:         15679         627160  org.apache.lucene.document.StoredField
  45:          4437         543112  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  46:         20890         501360  java.util.ArrayList
  47:         20847         500328  java.lang.Long
  48:         20253         486072  java.lang.Double
  49:          3473         471712  [Ljava.nio.ByteBuffer;
  50:           644         466968  [[C
  51:         11514         460560  sun.nio.cs.UTF_8$Decoder
  52:          8790         436344  [[I
  53:          6363         407232  java.util.LinkedHashMap
  54:          8130         390240  org.apache.tomcat.util.buf.ByteChunk
  55:          6065         339640  org.apache.tomcat.util.buf.MessageBytes
  56:         14023         336552  java.util.concurrent.ConcurrentSkipListMap$Node
  57:          4201         336080  java.lang.reflect.Method
  58:          8159         326360  com.sun.org.apache.xerces.internal.dom.DeferredTextImpl
  59:          4410         317520  org.apache.lucene.codecs.BlockTreeTermsReader$FieldReader
  60:          8880         284160  org.apache.lucene.util.WeakIdentityMap$IdentityWeakReference
  61:          6869         274760  org.apache.lucene.util.fst.BytesStore
  62:          6783         271320  org.apache.lucene.index.FieldInfo
  63:          8396         268672  java.util.Collections$UnmodifiableMap
  64:          6339         253560  org.apache.tomcat.util.buf.CharChunk
  65:           429         247104  <objArrayKlassKlass>
  66:          3416         245952  org.apache.lucene.store.MMapDirectory$MMapIndexInput
  67:         10211         245064  org.apache.lucene.util.AttributeSource$State
  68:          4339         242984  org.apache.lucene.index.SegmentInfoPerCommit
  69:         10020         240480  org.apache.lucene.util.automaton.Transition
  70:          4752         233552  [Ljava.lang.String;
  71:          9584         230016  org.apache.lucene.util.fst.Builder$CompiledNode
  72:          3094         222768  com.sun.org.apache.xerces.internal.dom.DeferredElementNSImpl
  73:          1943         217616  java.util.GregorianCalendar
  74:         13563         217008  java.lang.Object
